target,hull_energy,rxn,dG_rxn,temperature,c1,c2,gamma_obs,gamma_opt
Ca1O4Pd3,0.0,CaO + 3 PdO -> CaPd3O4,-0.112,1073,-0.093,0.0,-0.07,-0.07
K2O5Si2,0.0,SiO2 + 0.5 K2CO3 -> 0.5 CO2 + 0.5 K2Si2O5,-0.092,1773,0.013,0.066,0.011,0.011
K2O5Si2,0.0,SiO2 + 0.5 K2CO3 -> 0.5 CO2 + 0.5 K2Si2O5,-0.061,1473,0.007,0.043,0.006,0.006
K2O5Si2,0.0,K2O + 2 SiO2 -> K2Si2O5,-0.298,1073,0.12,0.456,0.148,0.011
K2O3Si1,0.0,SiO2 + K2CO3 -> CO2 + K2SiO3,0.084,473,0.084,0.0,0.061,-0.022
K4O4Si1,0.0,K2O + 0.5 SiO2 -> 0.5 K4SiO4,-0.39,1073,0.028,0.329,0.046,0.01
Fe5O12Y3,0.024,Y2O3 + 1.667 Fe2O3 -> 0.6667 Y3Fe5O12,-0.086,1673,0.028,0.046,0.015,-0.0
Fe5O12Y3,0.024,Y2O3 + 1.667 Fe2O3 -> 0.6667 Y3Fe5O12,-0.014,1073,0.013,0.01,0.008,0.004
Fe5O12Y3,0.024,Y2O3 + 1.667 Fe2O3 -> 0.6667 Y3Fe5O12,-0.033,1623,0.011,0.018,0.006,0.0
Fe5O12Y3,0.024,Y2O3 + 1.667 Fe2O3 -> 0.6667 Y3Fe5O12,-0.031,1573,0.012,0.017,0.006,0.001
Fe5O12Y3,0.024,YFeO3 + 0.3333 Fe2O3 -> 0.3333 Y3Fe5O12,-0.001,1748,-0.001,0.0,-0.001,-0.001
Fe5O12Y3,0.024,Y2O3 + 1.667 Fe2O3 -> 0.6667 Y3Fe5O12,-0.027,1473,0.012,0.016,0.007,0.001
Fe5O12Y3,0.024,Y2O3 + 1.667 Fe2O3 -> 0.6667 Y3Fe5O12,-0.026,1423,0.012,0.015,0.007,0.002
Fe1O3Y1,0.009,Fe2O3 + Y2O3 -> 2 YFeO3,-0.049,1773,-0.011,0.001,-0.014,-0.014
Fe1O3Y1,0.009,Fe2O3 + Y2O3 -> 2 YFeO3,-0.026,1073,-0.013,0.0,-0.011,-0.011
Fe1O3Y1,0.009,Fe2O3 + Y2O3 -> 2 YFeO3,-0.046,1673,-0.011,0.0,-0.014,-0.014
Fe2O4Y1,0.047,Fe2O3 + 0.5 Y2O3 -> Y(FeO2)2 + 0.25 O2,0.075,1073,0.101,0.013,0.073,0.067
Al1Gd1O3,0.008,Al2O3 + Gd2O3 -> 2 GdAlO3,-0.034,1473,0.053,0.044,0.036,0.036
Al1Gd1O3,0.008,Al2O3 + Gd2O3 -> 2 GdAlO3,-0.033,1073,0.043,0.031,0.028,0.028
Co1O3Ti1,0.003,0.3333 Co3O4 + TiO2 -> TiCoO3 + 0.1667 O2,-0.009,1373,0.026,0.017,0.018,0.018
Co1O3Ti1,0.003,CoO + TiO2 -> TiCoO3,-0.015,1073,0.037,0.064,0.036,0.009
Co1O3Ti1,0.003,CoO + TiO2 -> TiCoO3,-0.016,1223,0.022,0.048,0.023,0.019
Co2O4Ti1,0.009,TiO2 + 2 CoO -> Ti(CoO2)2,-0.017,1473,0.025,0.032,0.02,-0.03
Co2O4Ti1,0.009,0.6667 Co3O4 + TiO2 -> Ti(CoO2)2 + 0.3333 O2,-0.028,1623,0.019,0.034,0.016,-0.039
Co1O5Ti2,0.0,TiO2 + TiCoO3 -> Ti2CoO5,-0.026,1073,-0.001,0.025,0.002,-0.013
Cd2O4Sn1,0.0,CdO + 0.5 SnO2 -> 0.5 Cd2SnO4,-0.103,1073,0.0,0.031,-0.007,-0.017
Lu2O7Si2,0.0,SiO2 + 0.5 Lu2O3 -> 0.5 Lu2Si2O7,-0.048,1823,0.0,0.015,-0.003,-0.009
