target,hull_energy,gamma,predictions/SynthNN,predictions/PU-CGNF,predictions/PU-CGCNN,predictions/SynCoTrain,predictions/TSDNN
Ag1O3P3,0.357,0.688,0.002,0.886,0.609,0.651,0.998
Ag1O7P3,0.072,0.082,0.453,0.873,0.501,0.587,0.998
Ag1O8P3,0.008,0.081,0.876,0.875,0.595,0.641,0.999
Ag2O3P2,0.235,0.322,0.001,0.943,0.865,0.981,0.999
Ag2O8P3,0.051,0.101,0.922,0.879,0.833,0.694,0.999
Ag3O1P1,0.225,0.428,0.003,0.964,0.82,0.997,1.0
Ag3O1P5,0.25,0.894,0.002,0.976,0.794,0.974,1.0
Ag3O4P2,0.281,0.361,0.001,0.959,0.897,0.906,0.998
Ag3O7P4,0.204,0.389,0.001,0.914,0.84,0.799,0.995
Ag3O7P5,0.309,0.511,0.01,0.907,0.682,0.83,0.999
Ag4O1P2,0.259,0.622,0.004,0.915,0.87,0.999,1.0
Ag4O1P3,0.313,0.76,0.002,0.847,0.876,1.0,1.0
Ag4O2P5,0.248,0.814,0.002,0.955,0.839,0.981,0.999
Ag4O4P1,0.057,0.064,0.107,0.989,0.907,0.984,0.996
Ag4O7P3,0.207,0.202,0.01,0.945,0.732,0.869,1.0
Ag5O3P2,0.251,0.38,0.001,0.991,0.907,0.98,0.999
Ag5O4P6,0.359,0.762,0.003,0.954,0.899,0.988,1.0
Ag5O8P3,0.25,0.216,0.035,0.955,0.923,0.944,1.0
Ag6O3P1,0.268,0.19,0.002,0.988,0.714,1.0,1.0
Ag6O3P5,0.238,0.693,0.002,0.911,0.936,0.999,0.999
Ag7O3P1,0.234,0.182,0.0,0.973,0.724,0.997,1.0
Ag7O3P5,0.237,0.66,0.002,0.919,0.871,0.997,0.999
Ag7O3P6,0.268,0.73,0.002,0.893,0.883,1.0,1.0
Ag7O6P1,0.076,0.086,0.959,0.994,0.851,0.975,0.998
Ag7O8P2,0.036,0.046,0.005,0.983,0.896,0.998,0.998
Ag8O1P2,0.346,0.529,0.002,0.723,0.781,1.0,1.0
Ag8O7P5,0.289,0.484,0.001,0.969,0.839,0.999,0.999
Al1Gd3O6,0.103,0.07,0.938,0.796,0.587,0.903,1.0
Al2Gd1O4,0.232,0.346,0.015,0.751,0.269,0.663,0.999
Al2Gd2O5,0.28,0.465,0.032,0.539,0.074,0.538,0.998
Al2Gd3O6,0.289,0.553,0.006,0.559,0.183,0.838,0.998
Al2Gd4O7,0.319,0.642,0.006,0.628,0.193,0.951,0.998
Al2Gd5O8,0.296,0.649,0.006,0.628,0.244,0.926,0.998
Al3Gd1O6,0.134,0.042,0.968,0.831,0.417,0.655,0.999
Al4Gd1O7,0.174,0.208,0.07,0.814,0.221,0.463,1.0
As1Ba1O1,0.086,0.518,0.015,0.839,0.673,0.884,1.0
As1Ba1O3,0.088,0.079,0.553,0.904,0.711,0.986,1.0
As1Ba2O1,0.041,0.644,0.184,0.842,0.707,0.596,1.0
As1Ba2O3,0.097,0.268,0.009,0.848,0.37,0.927,1.0
As1Ba3O3,0.149,0.487,0.008,0.746,0.424,0.649,1.0
As1Ba3O5,0.06,0.223,0.725,0.875,0.489,0.981,1.0
As1Ba3O7,0.288,0.31,0.386,0.914,0.471,0.985,1.0
As1Ba4O5,0.153,0.3,0.021,0.761,0.167,0.757,1.0
As1Ba4O6,0.09,0.284,0.602,0.831,0.512,0.905,1.0
As1Ba5O7,0.114,0.293,0.932,0.788,0.329,0.644,1.0
As1Ba6O5,0.107,0.532,0.008,0.801,0.346,0.375,1.0
As1Ba7O8,0.096,0.314,0.006,0.72,0.425,0.434,1.0
As2Ba1O3,0.241,0.331,0.005,0.831,0.421,0.959,1.0
As2Ba2O1,0.14,0.656,0.212,0.899,0.782,0.762,1.0
As2Ba5O4,0.131,0.557,0.057,0.779,0.391,0.27,1.0
As2Ba7O5,0.095,0.585,0.035,0.837,0.343,0.602,1.0
As3Ba1O7,0.103,0.288,0.112,0.89,0.586,0.772,1.0
As3Ba2O5,0.289,0.332,0.011,0.845,0.609,0.927,1.0
As3Ba4O1,0.011,0.692,0.205,0.75,0.832,0.123,1.0
As3Ba4O5,0.126,0.42,0.087,0.806,0.368,0.962,1.0
As3Ba5O1,0.0,0.723,0.243,0.798,0.864,0.997,1.0
As3Ba7O4,0.063,0.63,0.097,0.851,0.501,0.722,1.0
As3Ba7O8,0.115,0.412,0.012,0.769,0.229,0.943,1.0
As3Ba8O7,0.123,0.527,0.009,0.763,0.515,0.777,1.0
As4Ba1O3,0.254,0.584,0.002,0.711,0.377,0.868,1.0
As4Ba3O1,0.083,0.715,0.24,0.967,0.854,0.199,1.0
As4Ba5O1,0.036,0.711,0.161,0.752,0.884,0.623,1.0
As4Ba5O3,0.14,0.606,0.19,0.805,0.716,0.91,1.0
As4Ba7O1,0.022,0.76,0.245,0.802,0.838,0.86,1.0
As4Ba7O2,0.028,0.695,0.01,0.824,0.848,0.802,1.0
As5Ba1O6,0.228,0.48,0.003,0.775,0.693,0.746,0.999
As5Ba3O1,0.091,0.746,0.105,0.962,0.879,0.059,1.0
As5Ba7O2,0.059,0.679,0.263,0.756,0.802,0.728,1.0
As5Ba7O4,0.064,0.588,0.192,0.779,0.782,0.825,1.0
As5Ba8O1,0.019,0.746,0.314,0.77,0.826,0.878,1.0
As5Ba8O3,0.025,0.647,0.195,0.793,0.889,0.908,1.0
As5Ba8O6,0.116,0.545,0.042,0.762,0.557,0.857,1.0
As6Ba1O4,0.385,0.712,0.002,0.674,0.775,0.712,1.0
As6Ba1O8,0.121,0.381,0.005,0.799,0.665,0.864,0.999
As6Ba8O5,0.09,0.576,0.193,0.787,0.416,0.724,1.0
As7Ba1O8,0.244,0.528,0.003,0.759,0.577,0.693,0.999
As8Ba7O6,0.124,0.597,0.199,0.886,0.65,0.903,1.0
Ba1Bi1O4,0.083,0.091,0.6,0.789,0.363,0.71,0.999
Ba1Bi2O2,0.167,0.4,0.028,0.338,0.184,0.372,0.99
Ba1Bi3O5,0.085,0.143,0.04,0.564,0.088,0.322,0.993
Ba1Bi3O8,0.073,0.142,0.64,0.779,0.328,0.649,0.997
Ba2Bi1O1,0.007,0.478,0.286,0.894,0.458,0.149,0.998
Ba2Bi1O3,0.145,0.2,0.014,0.822,0.381,0.616,0.999
