target,hull_energy,rxn,dG_rxn,temperature,c1,c2,gamma_obs,gamma_opt
Ca1O4Pd3,0,CaO + 3 PdO -> CaPd3O4,-0.111945294,1073,-0.093261364,0,-0.070130039,-0.070130039
K2O5Si2,0,SiO2 + 0.5 K2CO3 -> 0.5 CO2 + 0.5 K2Si2O5,-0.09217863,1773,0.013435087,0.065630775,0.011308167,0.011308167
K2O5Si2,0,SiO2 + 0.5 K2CO3 -> 0.5 CO2 + 0.5 K2Si2O5,-0.060566325,1473,0.00698211,0.042788862,0.006299754,0.006299754
K2O5Si2,0,K2O + 2 SiO2 -> K2Si2O5,-0.297592091,1073,0.120097019,0.455906795,0.147881399,0.011491455
K2O3Si1,0,SiO2 + K2CO3 -> CO2 + K2SiO3,0.084153891,473,0.084153891,0,0.060610943,-0.022239194
K4O4Si1,0,K2O + 0.5 SiO2 -> 0.5 K4SiO4,-0.390013226,1073,0.027675884,0.328620862,0.045706466,0.010489369
Fe5O12Y3,0.023515586,Y2O3 + 1.667 Fe2O3 -> 0.6667 Y3Fe5O12,-0.085778301,1673,0.028440179,0.045595839,0.015147443,-8.24249E-05
Fe5O12Y3,0.023515586,Y2O3 + 1.667 Fe2O3 -> 0.6667 Y3Fe5O12,-0.013573681,1073,0.012605327,0.010471603,0.007861638,0.004365065
Fe5O12Y3,0.023515586,Y2O3 + 1.667 Fe2O3 -> 0.6667 Y3Fe5O12,-0.032588368,1623,0.011478202,0.017626628,0.006218142,0.000332433
Fe5O12Y3,0.023515586,Y2O3 + 1.667 Fe2O3 -> 0.6667 Y3Fe5O12,-0.030855047,1573,0.011580948,0.016974398,0.006367958,0.000700036
Fe5O12Y3,0.023515586,YFeO3 + 0.3333 Fe2O3 -> 0.3333 Y3Fe5O12,-0.000810597,1748,-0.000810597,0,-0.000583824,-0.000583824
Fe5O12Y3,0.023515586,Y2O3 + 1.667 Fe2O3 -> 0.6667 Y3Fe5O12,-0.027403958,1473,0.011785516,0.01567579,0.006666246,0.001431942
Fe5O12Y3,0.023515586,Y2O3 + 1.667 Fe2O3 -> 0.6667 Y3Fe5O12,-0.025675822,1423,0.011887954,0.01502551,0.006815614,0.001798445
